Results from the 0th iteration     date:17/05/22
------------------------------------------------------------------------
Parameters of the run are : 
m=0.004 mu=19 lambda=0.72 lambdaQCD=0.234 gamma=0.48 eta=1.8

Parameters for the integartions are : 
nCheby=30 nLeg=500 pMin=0.001 pMax=1000.0
 
Degree of convergence : None
 
Current value for Z2 : 1

Datas for sigma_v(p) and sigma_s(p) :
p                                                  sigma_v(p)                                         sigma_s(p)                                        
(0.6099305906785851-0.8197654087881039j)           (-0.18832447228980614+0.3847721177468064j)         (-0.25271818165508025-0.028597126837860656j)      
(0.590018195591697-0.8050599177261787j)            (-0.23803342006317757+0.4042054913156167j)         (-0.27473811165110384-0.04160539948888351j)       
(0.5695100078359089-0.7901529276192404j)           (-0.29549881806506756+0.4249579275833551j)         (-0.30134899438736534-0.05619893250737909j)       
(0.5483556413797517-0.7750444564236287j)           (-0.36591489863286225+0.4451649642728029j)         (-0.33413518171020323-0.07633528542859354j)       
(0.5264980410845578-0.7597369197728093j)           (-0.45042167417618895+0.464001650798453j)          (-0.37341679245627774-0.10181329847757982j)       
(0.5038723653219016-0.7442360919325852j)           (-0.5575039468640497+0.4809537796046296j)          (-0.424226228949772-0.13675133593737754j)         
(0.48040467867538034-0.7285524382590418j)          (-0.6925318204962735+0.49346002751976975j)         (-0.488655362575539-0.1833117736022843j)          
(0.4560104456938557-0.7127029721994347j)           (-0.8748694665939066+0.49665723240796683j)         (-0.5767133107817908-0.2516860421865251j)         
(0.4305928432115058-0.6967138556286705j)           (-1.1483118301095288+0.5309556816919054j)          (-0.7375606398259532-0.3303498052734608j)         
(0.40404096593481914-0.6806240534638348j)          (-1.4361280662546236+0.4310494808737067j)          (-0.8390017885219989-0.4839605625251494j)         
(0.37622811530009953-0.6644904775406976j)          (-1.893967696813677+0.2063615609845843j)           (-1.0015339701467643-0.765899607623339j)          
(0.34701058436278154-0.6483952079247645j)          (-2.4934667836836493-0.3488320709935368j)          (-1.1390742922946682-1.2743937948780013j)         
(0.3162277660168378-0.6324555320336753j)           (-3.007275738893356-1.6320193080080692j)           (-1.0075723417772606-2.157220670004627j)          
(0.283705148758922-0.6168375891856149j)            (-2.391791587557699-3.825569395383382j)            (0.008526546546183716-3.202036615175424j)         
(0.24926298232181232-0.6017740725188844j)          (0.17937074111073997-4.382015073048518j)           (1.6207104039024867-2.7415735364206375j)          
(0.21273514495180673-0.587585093324929j)           (1.8835776187956528-3.1676419207079287j)           (2.22133818345952-1.594486679919042j)             
(0.17400449354312467-0.5746978021301271j)          (2.234417136095158-2.0742696461367762j)            (2.104526387093485-0.9157685397008454j)           
(0.133060506208582-0.5636533494200877j)            (2.42096512840824-1.095865953247368j)              (1.9825717544716528-0.3880122414304069j)          
(0.09007709480449985-0.5550800690066419j)          (2.2238306784179724-0.7740595034707236j)           (1.7940952037239817-0.28968304297887315j)         
(0.045486957003688724-0.5496080997014644j)         (2.1922682578969264-0.3579305505990775j)           (1.7192527850775634-0.1285765365390129j)          
(8.107922592650833e-16+0.5477225575051655j)        (2.1750593534412554+9.981162549659484e-15j)        (1.692375596573812+4.157513075731662e-15j)        
(0.045486957003690334+0.5496080997014645j)         (2.192268257896953+0.3579305505991021j)            (1.7192527850775792+0.12857653653902273j)         
(0.09007709480450143+0.555080069006642j)           (2.2238306784180155+0.7740595034707043j)           (1.7940952037240052+0.2896830429788579j)          
(0.1330605062085835+0.563653349420088j)            (2.420965128407575+1.0958659532478257j)            (1.9825717544713584+0.38801224143074825j)         
(0.1740044935431261+0.5746978021301274j)           (2.2344171360952085+2.074269646136812j)            (2.1045263870935234+0.9157685397008554j)          
(0.21273514495180804+0.5875850933249296j)          (1.8835776187956077+3.167641920707992j)            (2.2213381834595123+1.5944866799190887j)          
(0.24926298232181357+0.6017740725188849j)          (0.1793707411106242+4.382015073048607j)            (1.620710403902443+2.7415735364207228j)           
(0.2837051487589232+0.6168375891856155j)           (-2.391791587557704+3.8255693953832477j)           (0.008526546546145191+3.2020366151753477j)        
(0.3162277660168389+0.6324555320336759j)           (-3.007275738893369+1.6320193080080043j)           (-1.0075723417772902+2.1572206700045946j)         
(0.3470105843627826+0.648395207924765j)            (-2.4934667836836075+0.34883207099353375j)         (-1.1390742922946442+1.274393794877988j)          
(0.37622811530010053+0.6644904775406982j)          (-1.893967696813652-0.2063615609845821j)           (-1.0015339701467485+0.7658996076233331j)         
(0.40404096593482014+0.6806240534638354j)          (-1.4361280662546183-0.43104948087371425j)         (-0.8390017885219999+0.48396056252514424j)        
(0.43059284321150676+0.696713855628671j)           (-1.1483118301095276-0.5309556816919159j)          (-0.7375606398259589+0.33034980527345503j)        
(0.4560104456938565+0.7127029721994353j)           (-0.8748694665938952-0.4966572324079684j)          (-0.5767133107817853+0.25168604218651897j)        
(0.4804046786753812+0.7285524382590424j)           (-0.6925318204962593-0.4934600275197694j)          (-0.4886553625755304+0.18331177360227668j)        
(0.5038723653219025+0.7442360919325857j)           (-0.5575039468640491-0.48095377960464186j)         (-0.42422622894978046+0.13675133593736946j)       
(0.5264980410845586+0.7597369197728099j)           (-0.4504216741761887-0.46400165079845196j)         (-0.3734167924562774+0.10181329847758132j)        
(0.5483556413797525+0.7750444564236293j)           (-0.36591489863285925-0.44516496427280366j)        (-0.3341351817102042+0.07633528542859168j)        
(0.5695100078359097+0.7901529276192409j)           (-0.2954988180650645-0.4249579275833567j)          (-0.3013489943873658+0.056198932507375406j)       
(0.5900181955916978+0.8050599177261791j)           (-0.23803342006317335-0.40420549131561995j)        (-0.27473811165110473+0.04160539948887886j)       
(0.6248105338438268-0.8002425902201201j)           (-0.1776849483739638+0.43465488288680487j)         (-0.2729338389589072-0.014910865701174116j)       
(0.6051215312726136-0.7849662843776872j)           (-0.2156612384388864+0.4506127694947163j)          (-0.28247688117175834-0.02130754014393842j)       
(0.5848406127371245-0.769440408548144j)            (-0.26949797090015853+0.49001932972582973j)        (-0.31733533066861286-0.023984801996261965j)      
(0.5639158879360768-0.7536584960489288j)           (-0.33261209644457873+0.5207315908086626j)         (-0.34864076539337013-0.03450343279366133j)       
(0.5422880833616072-0.7376153234281435j)           (-0.4183736758725675+0.5610106399618564j)          (-0.39735752785329403-0.05015899179424029j)       
(0.5198891300277854-0.7213076372263411j)           (-0.5240475166605525+0.6049512851127931j)          (-0.4569755918388393-0.07018036376707955j)        
(0.49664043198572017-0.7047352117518764j)          (-0.6614049040049553+0.6527824495406146j)          (-0.5342374716871942-0.09909745303765469j)        
(0.47245074550645283-0.6879023963685563j)          (-0.846083881267805+0.7055260188296087j)           (-0.638208481703888-0.14132961245898096j)         
(0.447213595499958-0.6708203932499365j)            (-1.105214794546285+0.76243312605524j)             (-0.7838641220035143-0.20567439631784531j)        
(0.4208041698223347-0.653510634450476j)            (-1.4983838666781364+0.8124531833811467j)          (-1.0004713146539697-0.31795541809921296j)        
(0.39307568887871164-0.6360098247570339j)          (-2.170150617690697+0.9092130901925175j)           (-1.3960877722131866-0.4896159512732202j)         
(0.3638554019451614-0.6183775169948162j)           (-3.2090283971127906+0.7655293579228881j)          (-1.899029899576177-0.9001848609343163j)          
(0.33294072791026186-0.6007075230937385j)          (-5.3566676112412726-0.42086519711519604j)         (-2.689818749015156-2.2331351365087824j)          
(0.3000968704869572-0.5831450348550221j)           (-6.302315233549811-6.707349144238821j)            (-1.2502932539755351-5.987640893088689j)          
(0.2650589404220621-0.5659118676063134j)           (2.7438101271424125-8.014398755599274j)            (4.1126858759831215-3.980734584833278j)           
(0.22754493028111336-0.5493420567339042j)          (3.668729257838546-3.6758694554569207j)            (3.3118783317859757-1.3386292418345798j)          
(0.18729149990274804-0.5339270605015449j)          (3.3024733737905088-1.8908913806237235j)           (2.5997659680562-0.524061230844151j)              
(0.14413118112029874-0.5203592964203981j)          (2.8413043604008528-1.1819798910029498j)           (2.1521305452669544-0.3100146279773855j)          
(0.09812808047833442-0.509538143987633j)           (2.6317524366185725-0.6418225919827067j)           (1.9248964649132632-0.143113567824686j)           
(0.04975427458841646-0.5024693899530785j)          (2.5042983535868872-0.2937214856549371j)           (1.8054191934767085-0.06152931691226434j)         
(8.881784197001264e-16+0.49999999999999933j)       (2.4646758674233724+5.728024496869337e-15j)        (1.76888664241471+1.3180618710286604e-15j)        
(0.04975427458841822+0.5024693899530787j)          (2.5042983535869032+0.29372148565495404j)          (1.8054191934767188+0.061529316912269275j)        
(0.0981280804783361+0.5095381439876333j)           (2.631752436618585+0.6418225919827196j)            (1.9248964649132727+0.14311356782468893j)         
(0.14413118112030035+0.5203592964203985j)          (2.84130436040081+1.181979891003012j)              (2.152130545266941+0.3100146279774181j)           
(0.18729149990274954+0.5339270605015454j)          (3.30247337379054+1.890891380623785j)              (2.5997659680562317+0.5240612308441742j)          
(0.22754493028111475+0.5493420567339048j)          (3.6687292578384354+3.675869455457104j)            (3.311878331785963+1.3386292418347037j)           
(0.26505894042206335+0.565911867606314j)           (2.743810127142328+8.014398755599716j)             (4.112685875983201+3.9807345848335514j)           
(0.30009687048695843+0.5831450348550227j)          (-6.30231523354972+6.707349144238159j)             (-1.2502932539756757+5.987640893088287j)          
(0.332940727910263+0.6007075230937391j)            (-5.356667611241211+0.42086519711514686j)          (-2.689818749015138+2.2331351365087393j)          
(0.36385540194516247+0.6183775169948169j)          (-3.2090283971127476-0.7655293579229397j)          (-1.8990298995761732+0.9001848609342722j)         
(0.39307568887871264+0.6360098247570346j)          (-2.170150617690688-0.9092130901925238j)           (-1.3960877722131868+0.4896159512732151j)         
(0.42080416982233565+0.6535106344504766j)          (-1.4983838666781166-0.8124531833811481j)          (-1.0004713146539594+0.31795541809920463j)        
(0.4472135954999589+0.670820393249937j)            (-1.1052147945462727-0.7624331260552341j)          (-0.7838641220035054+0.20567439631784498j)        
(0.47245074550645366+0.687902396368557j)           (-0.8460838812678073-0.7055260188296016j)          (-0.6382084817038877+0.14132961245898748j)        
(0.49664043198572105+0.7047352117518769j)          (-0.6614049040049529-0.6527824495406094j)          (-0.5342374716871907+0.09909745303765682j)        
(0.5198891300277863+0.7213076372263416j)           (-0.5240475166605453-0.6049512851127854j)          (-0.4569755918388319+0.07018036376708041j)        
(0.5422880833616079+0.7376153234281441j)           (-0.41837367587256424-0.5610106399618524j)         (-0.3973575278532913+0.050158991794241305j)       
(0.5639158879360775+0.7536584960489294j)           (-0.33261209644456985-0.5207315908086588j)         (-0.3486407653933624+0.0345034327936577j)         
(0.5848406127371253+0.7694404085481445j)           (-0.26949797090015426-0.4900193297258289j)         (-0.31733533066861047+0.023984801996259124j)      
(0.6051215312726144+0.7849662843776877j)           (-0.2156612384388824-0.45061276949471607j)         (-0.2824768811717565+0.021307540143935058j)       
(0.6402358560400057-0.7809621958579545j)           (-0.14507261955600098+0.46766450842928675j)        (-0.26837209648093163+0.004968257586979041j)      
