Results from the 0th iteration     date:17/05/22
------------------------------------------------------------------------
Parameters of the run are : 
m=0.004 mu=19 lambda=0.72 lambdaQCD=0.234 gamma=0.48 eta=1.8

Parameters for the integartions are : 
nCheby=30 nLeg=500 pMin=0.001 pMax=1000.0
 
Degree of convergence : None
 
Current value for Z2 : 1

Datas for sigma_v(p) and sigma_s(p) :
p                                                  sigma_v(p)                                         sigma_s(p)                                        
(0.21728689675164084+0.9204420652599261j)          (-0.12779906314566797+0.24670299694681028j)        (0.2726745235677567+0.2883845435716071j)          
(0.24277354420765415+0.9267896167778024j)          (-0.17305728358353545+0.23064449848775181j)        (0.22073092404164996+0.2736060671908476j)         
(0.2677667951834778+0.9336482510040012j)           (-0.20506805632153338+0.2093634319230241j)         (0.16867169897155074+0.2567558371252322j)         
(0.29225365006050885+0.9409634402960033j)          (-0.22535156528143552+0.18358552664592506j)        (0.12039940225689844+0.24086338225424064j)        
(0.31622776601683866+0.9486832980505139j)          (-0.23601989157650044+0.15378463292030797j)        (0.07780227284950042+0.2237578350126954j)         
(0.33968839132682777+0.956759219031731j)           (-0.23937837970277603+0.12170893927487772j)        (0.040174635232904585+0.20589636919160997j)       
(0.3626393396154546+0.9651462534956724j)           (-0.23134853684564935+0.08489649038375194j)        (0.009536532425692882+0.17748315113949795j)       
(0.38508804835587057+0.973803268112473j)           (-0.22301514403478617+0.05641761690502251j)        (-0.0135971037189065+0.1612273313857608j)         
(0.40704474563521714+0.9826929454052463j)          (-0.21124081315664686+0.02673148406784775j)        (-0.035229706251541516+0.1416842824410043j)       
(0.42852173398374815+0.9917816677557809j)          (-0.1983384512191516+0.002572956819691986j)        (-0.05127954518689181+0.12622405240659468j)       
(0.4495327896156358+1.0010393243722322j)           (-0.182536167265653-0.01975809408621371j)          (-0.06387716806839126+0.1090670093590863j)        
